"","V1","V1","ST","Freq"
"1","1","1","valley",37954
"2","2","2","california",29400
"3","3","3","compact",26512
"4","4","4","flavor",22361
"5","5","5","fruit",19232
"6","6","6","franc",15445
"7","7","7","vineyard",13793
"8","8","8","pinot",13021
"9","9","9","sauvignon",12966
"10","10","10","finish",12551
"11","11","11","blend",12482
"12","12","12","aroma",12033
"13","13","13","cabernet",11975
"14","14","14","acid",11927
"15","15","15","palat",11747
"16","16","16","itali",11525
"17","17","17","cherri",10659
"18","18","18","drink",10489
"19","19","19","tannin",10145
"20","20","20","noir",9996
"21","21","21","black",9366
"22","22","22","chardonnay",8833
"23","23","23","ripe",8755
"24","24","24","napa",8280
"25","25","25","columbia",7999
"26","26","26","note",7765
"27","27","27","sonoma",7690
"28","28","28","bordeaux",7648
"29","29","29","spice",7127
"30","30","30","washington",7115
"31","31","31","coast",7076
"32","32","32","rich",6993
"33","33","33","roger",6864
"34","34","34","voss",6812
"35","35","35","vossrog",6805
"36","36","36","fresh",6654
"37","37","37","white",6651
"38","38","38","blanc",6450
"39","39","39","central",6219
"40","40","40","show",5781
"41","41","41","estat",5735
"42","42","42","berri",5570
"43","43","43","nose",5347
"44","44","44","light",5274
"45","45","45","2014",5230
"46","46","46","sweet",5221
"47","47","47","syrah",5195
"48","48","48","2013",5193
"49","49","49","oregon",5161
"50","50","50","2012",5073
"51","51","51","santa",5073
"52","52","52","counti",5028
"53","53","53","full",4979
"54","54","54","style",4972
"55","55","55","plum",4931
"56","56","56","hill",4902
"57","57","57","textur",4897
"58","58","58","blackberri",4819
"59","59","59","bodi",4808
"60","60","60","balanc",4774
"61","61","61","offer",4764
"62","62","62","mendoza",4728
"63","63","63","appl",4621
"64","64","64","soft",4550
"65","65","65","riesl",4402
"66","66","66","merlot",4392
"67","67","67","michael",4288
"68","68","68","château",4231
"69","69","69","well",4227
"70","70","70","schachner",4148
"71","71","71","wineschach",4148
"72","72","72","crisp",4073
"73","73","73","rosé",4068
"74","74","74","river",3967
"75","75","75","2011",3933
"76","76","76","2010",3921
"77","77","77","cellar",3895
"78","78","78","reserv",3892
"79","79","79","dark",3885
"80","80","80","alsac",3880
"81","81","81","structur",3878
"82","82","82","spain",3851
"83","83","83","willamett",3730
"84","84","84","paul",3696
"85","85","85","fruiti",3638
"86","86","86","tuscani",3590
"87","87","87","portug",3562
"88","88","88","raspberri",3533
"89","89","89","2015",3495
"90","90","90","herb",3467
"91","91","91","citrus",3451
"92","92","92","vanilla",3433
"93","93","93","hint",3424
"94","94","94","gregutt",3384
"95","95","95","paulgwine ",3384
"96","96","96","bright",3354
"97","97","97","give",3349
"98","98","98","pepper",3343
"99","99","99","lake",3316
"100","100","100","miner",3309
"101","101","101","virgini",3307
"102","102","102","boon",3305
"103","103","103","vboon",3305
"104","104","104","russian",3300
"105","105","105","australia",3273
"106","106","106","mountain",3247
"107","107","107","green",3237
"108","108","108","chile",3216
"109","109","109","champagn",3176
"110","110","110","year",3159
"111","111","111","touch",3152
"112","112","112","firm",3141
"113","113","113","lemon",3141
"114","114","114","2009",3129
"115","115","115","gordon",3100
"116","116","116","long",3061
"117","117","117","domain",3030
"118","118","118","good",3015
"119","119","119","peach",2975
"120","120","120","juici",2958
"121","121","121","like",2920
"122","122","122","concentr",2874
"123","123","123","walla",2857
"124","124","124","bottl",2856
"125","125","125","chocol",2833
"126","126","126","currant",2822
"127","127","127","kerin",2822
"128","128","128","kerinokeef",2822
"129","129","129","o’keef",2822
"130","130","130","malbec",2811
"131","131","131","pear",2786
"132","132","132","complex",2720
"133","133","133","feel",2663
"134","134","134","robl",2661
"135","135","135","will",2615
"136","136","136","toast",2609
"137","137","137","paso",2598
"138","138","138","fine",2571
"139","139","139","south",2542
"140","140","140","argentina",2521
"141","141","141","eleg",2455
"142","142","142","come",2430
"143","143","143","smooth",2403
"144","144","144","charact",2399
"145","145","145","zinfandel",2383
"146","146","146","brut",2361
"147","147","147","côtes",2360
"148","148","148","spici",2352
"149","149","149","made",2350
"150","150","150","open",2323
"151","151","151","finger",2317
"152","152","152","2008",2316
"153","153","153","tart",2280
"154","154","154","tast",2275
"155","155","155","make",2259
"156","156","156","provinc",2259
"157","157","157","medium",2249
"158","158","158","creek",2218
"159","159","159","burgundi",2207
"160","160","160","matt",2179
"161","161","161","kettmann",2166
"162","162","162","mattkettmann",2166
"163","163","163","reserva",2163
"164","164","164","york",2160
"165","165","165","2007",2156
"166","166","166","piedmont",2133
"167","167","167","lead",2071
"168","168","168","petit",2069
"169","169","169","provenc",2066
"170","170","170","lime",2049
"171","171","171","wood",2046
"172","172","172","tight",2039
"173","173","173","just",2038
"174","174","174","round",2032
"175","175","175","orang",2010
"176","176","176","intens",2004
"177","177","177","herbal",1983
"178","178","178","mouth",1978
"179","179","179","sangioves",1962
"180","180","180","tannic",1960
"181","181","181","austria",1915
"182","182","182","slight",1899
"183","183","183","also",1888
"184","184","184","bake",1879
"185","185","185","grape",1870
"186","186","186","layer",1855
"187","187","187","creami",1847
"188","188","188","still",1839
"189","189","189","clean",1835
"190","190","190","delici",1833
"191","191","191","sean",1817
"192","192","192","licoric",1801
"193","193","193","sullivan",1799
"194","194","194","wawinereport",1792
"195","195","195","power",1780
"196","196","196","vintag",1778
"197","197","197","2006",1750
"198","198","198","sparkl",1730
"199","199","199","grand",1729
"200","200","200","earthi",1727
"201","201","201","dens",1726
"202","202","202","barrel",1682
"203","203","203","honey",1670
"204","204","204","color",1659
"205","205","205","along",1655
"206","206","206","czerwinski",1650
"207","207","207","joecz",1650
"208","208","208","2016",1643
"209","209","209","savori",1633
"210","210","210","leather",1614
"211","211","211","flower",1611
"212","212","212","rhône",1610
"213","213","213","strawberri",1609
"214","214","214","cuvé",1608
"215","215","215","anna",1600
"216","216","216","germani",1580
"217","217","217","tobacco",1575
"218","218","218","great",1560
"219","219","219","nice",1550
"220","220","220","readi",1547
"221","221","221","iijima",1546
"222","222","222","montalcino",1526
"223","223","223","cassi",1522
"224","224","224","classico",1517
"225","225","225","barolo",1506
"226","226","226","high",1503
"227","227","227","easi",1482
"228","228","228","time",1476
"229","229","229","alongsid",1474
"230","230","230","vine",1469
"231","231","231","young",1458
"232","232","232","smoki",1457
"233","233","233","north",1452
"234","234","234","saint",1451
"235","235","235","famili",1433
"236","236","236","grenach",1429
"237","237","237","accent",1428
"238","238","238","wineri",1420
"239","239","239","mouthfeel",1418
"240","240","240","grown",1415
"241","241","241","stone",1412
"242","242","242","veneto",1405
"243","243","243","coffe",1386
"244","244","244","linger",1381
"245","245","245","refresh",1372
"246","246","246","live",1360
"247","247","247","cola",1349
"248","248","248","smoke",1343
"249","249","249","wild",1343
"250","250","250","pineappl",1340
"251","251","251","scent",1339
"252","252","252","chianti",1337
"253","253","253","toscana",1329
"254","254","254","produc",1327
"255","255","255","deliv",1324
"256","256","256","douro",1318
"257","257","257","brunello",1316
"258","258","258","carnero",1312
"259","259","259","barbara",1300
"260","260","260","grapefruit",1299
"261","261","261","apricot",1295
"262","262","262","clove",1288
"263","263","263","littl",1288
"264","264","264","melon",1282
"265","265","265","tone",1280
"266","266","266","suggest",1279
"267","267","267","floral",1270
"268","268","268","seem",1257
"269","269","269","gris",1253
"270","270","270","mosel",1250
"271","271","271","almost",1246
"272","272","272","tropic",1241
"273","273","273","bring",1239
"274","274","274","earth",1232
"275","275","275","select",1231
"276","276","276","strong",1217
"277","277","277","viognier",1209
"278","278","278","yellow",1209
"279","279","279","attract",1197
"280","280","280","best",1189
"281","281","281","core",1189
"282","282","282","portugues",1187
"283","283","283","anneinvino",1182
"284","284","284","krebiehl mw",1182
"285","285","285","need",1178
"286","286","286","generous",1177
"287","287","287","solid",1175
"288","288","288","alcohol",1173
"289","289","289","virginia",1169
"290","290","290","bitter",1167
"291","291","291","southern",1166
"292","292","292","cranberri",1164
"293","293","293","2005",1157
"294","294","294","candi",1157
"295","295","295","rita",1145
"296","296","296","follow",1144
"297","297","297","aromat",1139
"298","298","298","blueberri",1133
"299","299","299","cinnamon",1127
"300","300","300","quit",1127
"301","301","301","perfum",1125
"302","302","302","quinta",1116
"303","303","303","plenti",1115
"304","304","304","yakima",1112
"305","305","305","enjoy",1111
"306","306","306","sierra",1111
"307","307","307","ranch",1104
"308","308","308","toasti",1090
"309","309","309","loir",1087
"310","310","310","weight",1082
"311","311","311","domin",1081
"312","312","312","cedar",1080
"313","313","313","riserva",1077
"314","314","314","ridg",1067
"315","315","315","simpl",1061
"316","316","316","nebbiolo",1055
"317","317","317","island",1043
"318","318","318","provid",1042
"319","319","319","alexand",1037
"320","320","320","highland",1037
"321","321","321","rose",1032
"322","322","322","pretti",1031
"323","323","323","foothil",1027
"324","324","324","crush",1016
"325","325","325","delic",1016
"326","326","326","caramel",1015
"327","327","327","zealand",1015
"328","328","328","mendocino",999
"329","329","329","skin",997
"330","330","330","develop",996
"331","331","331","2018",990
"332","332","332","impress",984
"333","333","333","silki",977
"334","334","334","tempranillo",975
"335","335","335","glass",971
"336","336","336","matur",968
"337","337","337","maria",962
"338","338","338","tangi",955
"339","339","339","beauti",949
"340","340","340","lodi",945
"341","341","341","roast",944
"342","342","342","mocha",940
"343","343","343","singl",938
"344","344","344","pair",937
"345","345","345","lucia",936
"346","346","346","alentejano",932
"347","347","347","lush",932
"348","348","348","prosecco",932
"349","349","349","northern",931
"350","350","350","sirah",931
"351","351","351","jammi",927
"352","352","352","grüner",926
"353","353","353","meat",923
"354","354","354","back",922
"355","355","355","africa",918
"356","356","356","sicili",917
"357","357","357","butter",916
"358","358","358","much",916
"359","359","359","alto",909
"360","360","360","marlborough",907
"361","361","361","superior",906
"362","362","362","zesti",905
"363","363","363","close",904
"364","364","364","violet",904
"365","365","365","zest",903
"366","366","366","oaki",901
"367","367","367","district",898
"368","368","368","shiraz",896
"369","369","369","southwest",895
"370","370","370","sardinia",894
"371","371","371","varieti",894
"372","372","372","colchagua",888
"373","373","373","veltlin",884
"374","374","374","love",883
"375","375","375","bold",876
"376","376","376","clos",875
"377","377","377","deep",875
"378","378","378","price",875
"379","379","379","verdot",872
"380","380","380","almond",866
"381","381","381","premier",864
"382","382","382","ynez",864
"383","383","383","hard",858
"384","384","384","warm",855
"385","385","385","even",854
"386","386","386","forward",848
"387","387","387","anis",844
"388","388","388","dusti",842
"389","389","389","sicilia",841
"390","390","390","catalonia",837
"391","391","391","hors",837
"392","392","392","whiff",836
"393","393","393","ribera",835
"394","394","394","enough",833
"395","395","395","integr",833
"396","396","396","winemak",833
"397","397","397","carri",832
"398","398","398","mint",831
"399","399","399","ferment",830
"400","400","400","peel",824
"401","401","401","subtl",822
"402","402","402","thick",815
"403","403","403","block",814
"404","404","404","port",812
"405","405","405","first",810
"406","406","406","depth",806
"407","407","407","northeastern",806
"408","408","408","lean",802
"409","409","409","pure",800
"410","410","410","barbaresco",798
"411","411","411","express",798
"412","412","412","pepperi",796
"413","413","413","variet",793
"414","414","414","frame",791
"415","415","415","mark",788
"416","416","416","combin",787
"417","417","417","vibrant",787
"418","418","418","extra",786
"419","419","419","beaujolai",784
"420","420","420","monterey",783
"421","421","421","duero",781
"422","422","422","although",779
"423","423","423","tangerin",777
"424","424","424","2017",775
"425","425","425","adig",775
"426","426","426","classic",769
"427","427","427","french",769
"428","428","428","brisk",767
"429","429","429","right",766
"430","430","430","support",765
"431","431","431","anderson",758
"432","432","432","appeal",756
"433","433","433","aftertast",754
"434","434","434","polish",753
"435","435","435","togeth",750
"436","436","436","espresso",740
"437","437","437","take",737
"438","438","438","cool",736
"439","439","439","lift",736
"440","440","440","heavi",734
"441","441","441","vino",732
"442","442","442","keep",731
"443","443","443","barbera",724
"444","444","444","spring",721
"445","445","445","pleasant",719
"446","446","446","rosso",718
"447","447","447","sour",710
"448","448","448","pack",709
"449","449","449","sugar",704
"450","450","450","2020",702
"451","451","451","element",701
"452","452","452","qualiti",700
"453","453","453","smell",700
"454","454","454","rather",697
"455","455","455","next",695
"456","456","456","focus",687
"457","457","457","side",687
"458","458","458","sharp",686
"459","459","459","exot",685
"460","460","460","interest",685
"461","461","461","blue",684
"462","462","462","grill",684
"463","463","463","suppl",683
"464","464","464","velveti",683
"465","465","465","casablanca",682
"466","466","466","bouquet",677
"467","467","467","food",670
"468","468","468","blossom",667
"469","469","469","heaven",664
"470","470","470","grigio",662
"471","471","471","oliv",656
"472","472","472","region",656
"473","473","473","maipo",655
"474","474","474","tejo",652
"475","475","475","chewi",646
"476","476","476","fill",646
"477","477","477","sens",646
"478","478","478","vinho",646
"479","479","479","lauren",642
"480","480","480","gewürztramin",640
"481","481","481","start",638
"482","482","482","streak",635
"483","483","483","carmenèr",634
"484","484","484","dunde",630
"485","485","485","rock",627
"486","486","486","haut",626
"487","487","487","casa",621
"488","488","488","fork",619
"489","489","489","alreadi",617
"490","490","490","cruz",616
"491","491","491","canyon",612
"492","492","492","sancerr",611
"493","493","493","base",607
"494","494","494","grain",602
"495","495","495","astring",601
"496","496","496","turn",598
"497","497","497","buzzeo",595
"498","498","498","cava",595
"499","499","499","laurbuzz",595
"500","500","500","gran",594
"501","501","501","mont",594
"502","502","502","western",594
"503","503","503","mild",590
"504","504","504","around",589
"505","505","505","perfect",587
"506","506","506","lend",584
"507","507","507","hold",581
"508","508","508","mourvèdr",579
"509","509","509","rutherford",569
"510","510","510","edna",566
"511","511","511","though",566
"512","512","512","sage",561
"513","513","513","cocoa",560
"514","514","514","driven",558
"515","515","515","leav",558
"516","516","516","nuanc",556
"517","517","517","burgenland",555
"518","518","518","approach",552
"519","519","519","fragrant",548
"520","520","520","month",547
"521","521","521","better",545
"522","522","522","char",543
"523","523","523","niederösterreich",540
"524","524","524","2019",539
"525","525","525","forest",538
"526","526","526","includ",537
"527","527","527","natur",537
"528","528","528","purpl",537
"529","529","529","2004",535
"530","530","530","médoc",535
"531","531","531","pink",534
"532","532","532","toro",534
"533","533","533","fair",532
"534","534","534","raisin",531
"535","535","535","prune",528
"536","536","536","valdobbiaden",527
"537","537","537","length",525
"538","538","538","last",523
"539","539","539","nectarin",519
"540","540","540","play",516
"541","541","541","amador",509
"542","542","542","chenin",508
"543","543","543","late",507
"544","544","544","three",503
"545","545","545","jean",502
"546","546","546","sourc",499
"547","547","547","chabli",497
"548","548","548","moder",496
"549","549","549","remain",496
"550","550","550","doesn",495
"551","551","551","straightforward",493
"552","552","552","seri",492
"553","553","553","livermor",490
"554","554","554","midpal",490
"555","555","555","pouilli",488
"556","556","556","slope",487
"557","557","557","lisboa",485
"558","558","558","brown",484
"559","559","559","languedoc",480
"560","560","560","vign",480
"561","561","561","juic",479
"562","562","562","point",479
"563","563","563","find",478
"564","564","564","stellenbosch",478
"565","565","565","leaf",476
"566","566","566","overal",476
"567","567","567","verd",476
"568","568","568","appel",473
"569","569","569","despit",471
"570","570","570","robert",470
"571","571","571","cahor",466
"572","572","572","cream",465
"573","573","573","soon",465
"574","574","574","tradit",465
"575","575","575","soil",463
"576","576","576","without",463
"577","577","577","extract",461
"578","578","578","bodega",460
"579","579","579","gentl",459
"580","580","580","nero",459
"581","581","581","valpolicella",458
"582","582","582","soften",456
"583","583","583","pomegran",453
"584","584","584","rustic",453
"585","585","585","brambl",449
"586","586","586","excel",449
"587","587","587","front",449
"588","588","588","highlight",449
"589","589","589","mango",449
"590","590","590","plump",448
"591","591","591","vale",447
"592","592","592","lack",445
"593","593","593","mani",443
"594","594","594","wrap",442
"595","595","595","clone",441
"596","596","596","supérieur",441
"597","597","597","tomato",440
"598","598","598","least",439
"599","599","599","graphit",435
"600","600","600","star",435
"601","601","601","youth",434
"602","602","602","montepulciano",433
"603","603","603","opul",433
"604","604","604","potenti",433
"605","605","605","crémant",432
"606","606","606","friend",432
"607","607","607","grip",432
"608","608","608","roussillon",432
"609","609","609","load",431
"610","610","610","moscato",431
"611","611","611","somewhat",431
"612","612","612","featur",430
"613","613","613","maul",428
"614","614","614","releas",427
"615","615","615","reveal",426
"616","616","616","short",426
"617","617","617","ampl",424
"618","618","618","terra",424
"619","619","619","plush",423
"620","620","620","tenuta",422
"621","621","621","organ",421
"622","622","622","small",420
"623","623","623","viña",420
"624","624","624","chunki",419
"625","625","625","intrigu",418
"626","626","626","persist",418
"627","627","627","meati",417
"628","628","628","name",417
"629","629","629","menthol",416
"630","630","630","pleas",416
"631","631","631","anoth",412
"632","632","632","boysenberri",411
"633","633","633","citrusi",411
"634","634","634","farm",410
"635","635","635","branco",408
"636","636","636","label",408
"637","637","637","mushroom",406
"638","638","638","vall",406
"639","639","639","part",405
"640","640","640","honeysuckl",404
"641","641","641","lemoni",404
"642","642","642","luscious",404
"643","643","643","beef",403
"644","644","644","raci",403
"645","645","645","boast",401
"646","646","646","across",400
"647","647","647","fleshi",400
"648","648","648","limit",400
"649","649","649","collect",399
"650","650","650","tierra",399
"651","651","651","rind",396
"652","652","652","robust",396
"653","653","653","castello",394
"654","654","654","chehalem",393
"655","655","655","arroyo",390
"656","656","656","petal",390
"657","657","657","beaun",386
"658","658","658","bone",384
"659","659","659","heat",384
"660","660","660","burst",382
"661","661","661","coastal",382
"662","662","662","underbrush",382
"663","663","663","road",381
"664","664","664","susan",381
"665","665","665","bean",379
"666","666","666","present",379
"667","667","667","thyme",378
"668","668","668","émilion",377
"669","669","669","loui",377
"670","670","670","invit",376
"671","671","671","albariño",375
"672","672","672","oakvill",375
"673","673","673","broad",374
"674","674","674","wonder",374
"675","675","675","georg",373
"676","676","676","nutmeg",373
"677","677","677","result",373
"678","678","678","refin",372
"679","679","679","kostrzewa",371
"680","680","680","near",371
"681","681","681","suskostrzewa",371
"682","682","682","dorado",370
"683","683","683","coconut",368
"684","684","684","level",368
"685","685","685","villa",368
"686","686","686","immedi",367
"687","687","687","lombardi",367
"688","688","688","bell",365
"689","689","689","bourgogn",365
"690","690","690","decad",365
"691","691","691","valu",364
"692","692","692","wachau",364
"693","693","693","rheingau",362
"694","694","694","site",362
"695","695","695","mount",361
"696","696","696","continu",360
"697","697","697","surpris",360
"698","698","698","toward",360
"699","699","699","wahluk",360
"700","700","700","addit",359
"701","701","701","leatheri",359
"702","702","702","quick",359
"703","703","703","five",358
"704","704","704","mellow",358
"705","705","705","grace",356
"706","706","706","vintner",356
"707","707","707","minti",355
"708","708","708","alba",354
"709","709","709","bubbl",354
"710","710","710","castilla",354
"711","711","711","display",354
"712","712","712","serious",354
"713","713","713","leap",353
"714","714","714","four",351
"715","715","715","term",351
"716","716","716","ground",350
"717","717","717","réserv",350
"718","718","718","rogu",350
"719","719","719","baixa",349
"720","720","720","certain",349
"721","721","721","joseph",349
"722","722","722","rías",349
"723","723","723","coteaux",348
"724","724","724","golden",347
"725","725","725","extrem",346
"726","726","726","rang",346
"727","727","727","touriga",346
"728","728","728","entir",345
"729","729","729","priorat",345
"730","730","730","balsam",344
"731","731","731","line",344
"732","732","732","promis",344
"733","733","733","taut",344
"734","734","734","yeasti",344
"735","735","735","kabinett",342
"736","736","736","mclaren",342
"737","737","737","salti",342
"738","738","738","worldwineguy",341
"739","739","739","dust",340
"740","740","740","steeli",340
"741","741","741","finca",339
"742","742","742","kamptal",339
"743","743","743","sandalwood",339
"744","744","744","equal",338
"745","745","745","israel",338
"746","746","746","summer",337
"747","747","747","bacon",336
"748","748","748","defin",336
"749","749","749","barossa",335
"750","750","750","cave",335
"751","751","751","floor",335
"752","752","752","fulli",335
"753","753","753","pine",335
"754","754","754","trocken",335
"755","755","755","eola",334
"756","756","756","realli",334
"757","757","757","typic",334
"758","758","758","distinct",333
"759","759","759","steel",333
"760","760","760","amount",332
"761","761","761","blay",332
"762","762","762","greec",332
"763","763","763","cape",331
"764","764","764","restrain",331
"765","765","765","chalki",330
"766","766","766","spätlese",330
"767","767","767","succul",330
"768","768","768","della",327
"769","769","769","mouthwat",327
"770","770","770","brace",326
"771","771","771","terr",326
"772","772","772","harvest",325
"773","773","773","especi",323
"774","774","774","william",323
"775","775","775","amiti",322
"776","776","776","case",322
"777","777","777","tasti",322
"778","778","778","vieill",322
"779","779","779","kremstal",321
"780","780","780","densiti",319
"781","781","781","nacion",319
"782","782","782","tannat",319
"783","783","783","emerg",318
"784","784","784","roussann",318
"785","785","785","peak",317
"786","786","786","press",317
"787","787","787","appear",316
"788","788","788","background",316
"789","789","789","chateau",316
"790","790","790","meet",316
"791","791","791","plant",316
"792","792","792","auster",315
"793","793","793","dell",315
"794","794","794","thin",315
"795","795","795","rough",313
"796","796","796","charm",311
"797","797","797","climat",311
"798","798","798","unusu",311
"799","799","799","coat",310
"800","800","800","drinkabl",310
"801","801","801","hand",310
"802","802","802","basic",307
"803","803","803","fuissé",307
"804","804","804","sauc",307
"805","805","805","gamay",306
"806","806","806","stand",306
"807","807","807","effort",304
"808","808","808","modest",304
"809","809","809","brighten",303
"810","810","810","satisfi",303
"811","811","811","helena",302
"812","812","812","rheinhessen",302
"813","813","813","sever",299
"814","814","814","soav",299
"815","815","815","tinto",299
"816","816","816","woodi",299
"817","817","817","wound",299
"818","818","818","allow",298
"819","819","819","dole",298
"820","820","820","butteri",297
"821","821","821","complet",297
"822","822","822","creat",297
"823","823","823","grass",297
"824","824","824","lace",297
"825","825","825","residu",296
"826","826","826","lane",294
"827","827","827","stew",294
"828","828","828","work",294
"829","829","829","help",293
"830","830","830","throughout",293
"831","831","831","leyda",291
"832","832","832","slate",291
"833","833","833","avola",290
"834","834","834","chop",290
"835","835","835","galile",290
"836","836","836","levant",290
"837","837","837","shine",288
"838","838","838","asti",287
"839","839","839","game",287
"840","840","840","given",287
"841","841","841","decant",286
"842","842","842","rubberi",286
"843","843","843","stage",286
"844","844","844","tough",285
"845","845","845","alta",284
"846","846","846","final",284
"847","847","847","pencil",284
"848","848","848","eastern",283
"849","849","849","bolgheri",282
"850","850","850","côte",281
"851","851","851","2022",280
"852","852","852","backbon",280
"853","853","853","easygo",280
"854","854","854","victoria",280
"855","855","855","seven",279
"856","856","856","profil",278
"857","857","857","relat",278
"858","858","858","special",278
"859","859","859","evolv",277
"860","860","860","herdad",276
"861","861","861","galicia",275
"862","862","862","grippi",275
"863","863","863","milk",275
"864","864","864","lighter",274
"865","865","865","asian",273
"866","866","866","center",273
"867","867","867","chalk",273
"868","868","868","flat",273
"869","869","869","person",272
"870","870","870","stag",272
"871","871","871","chees",270
"872","872","872","dish",270
"873","873","873","gritti",270
"874","874","874","grassi",269
"875","875","875","pale",269
"876","876","876","thing",269
"877","877","877","overrip",268
"878","878","878","père",268
"879","879","879","cake",267
"880","880","880","mingl",267
"881","881","881","nobil",267
"882","882","882","stainless",267
"883","883","883","wait",267
"884","884","884","dessert",266
"885","885","885","franciacorta",266
"886","886","886","lavend",266
"887","887","887","butterscotch",265
"888","888","888","improv",265
"889","889","889","less",265
"890","890","890","real",265
"891","891","891","burnt",264
"892","892","892","bite",263
"893","893","893","gorgeous",263
"894","894","894","curicó",262
"895","895","895","access",261
"896","896","896","brood",261
"897","897","897","etna",261
"898","898","898","wave",261
"899","899","899","banana",260
"900","900","900","charl",260
"901","901","901","plus",260
"902","902","902","whole",260
"903","903","903","leafi",259
"904","904","904","want",259
"905","905","905","ginger",258
"906","906","906","umpqua",258
"907","907","907","happi",257
"908","908","908","salt",257
"909","909","909","assert",256
"910","910","910","puriti",256
"911","911","911","exampl",255
"912","912","912","passion",255
"913","913","913","entic",254
"914","914","914","signatur",254
"915","915","915","diamond",253
"916","916","916","except",253
"917","917","917","howel",252
"918","918","918","appet",251
"919","919","919","begin",251
"920","920","920","half",251
"921","921","921","linear",251
"922","922","922","carignan",250
"923","923","923","chocolati",250
"924","924","924","everyday",250
"925","925","925","hous",250
"926","926","926","dutton",249
"927","927","927","villag",249
"928","928","928","hearti",248
"929","929","929","match",248
"930","930","930","neutral",247
"931","931","931","steak",247
"932","932","932","subdu",247
"933","933","933","muscat",246
"934","934","934","becom",245
"935","935","935","herbac",245
"936","936","936","sophist",245
"937","937","937","fumé",244
"938","938","938","penetr",244
"939","939","939","2000",243
"940","940","940","design",243
"941","941","941","flesh",243
"942","942","942","harmoni",243
"943","943","943","henri",243
"944","944","944","conegliano",242
"945","945","945","initi",242
"946","946","946","veeder",242
"947","947","947","influenc",241
"948","948","948","tabl",241
"949","949","949","meyer",240
"950","950","950","definit",238
"951","951","951","direct",238
"952","952","952","ting",237
"953","953","953","unoak",237
"954","954","954","brini",236
"955","955","955","gold",236
"956","956","956","1999",235
"957","957","957","michel",235
"958","958","958","origin",235
"959","959","959","product",235
"960","960","960","dryness",234
"961","961","961","entri",234
"962","962","962","characterist",233
"963","963","963","poggio",233
"964","964","964","warmth",232
"965","965","965","bread",231
"966","966","966","easili",231
"967","967","967","finess",231
"968","968","968","compon",230
"969","969","969","papaya",230
"970","970","970","stalki",230
"971","971","971","pick",229
"972","972","972","pith",229
"973","973","973","someth",229
"974","974","974","cook",228
"975","975","975","form",228
"976","976","976","crest",227
"977","977","977","deepli",227
"978","978","978","iron",227
"979","979","979","rhubarb",227
"980","980","980","alway",225
"981","981","981","glera",225
"982","982","982","hawk",225
"983","983","983","shenandoah",225
"984","984","984","nutti",224
"985","985","985","away",221
"986","986","986","root",221
"987","987","987","heart",220
"988","988","988","lyche",220
"989","989","989","sugari",220
"990","990","990","expect",219
"991","991","991","fattoria",219
"992","992","992","known",219
"993","993","993","seco",219
"994","994","994","everyth",218
"995","995","995","mouss",218
"996","996","996","compact",217
"997","997","997","eucalyptus",217
"998","998","998","bianco",216
"999","999","999","exuber",216
"1000","1000","1000","slender",216
